Postalcode,City,Latitude,Longitude,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
N3C 0A1,Cambridge,43.4389,-80.2649,10,19.36690883908548,23.09643533916437,19.527716771063414,22.936869635335533,24.623869413674704,26.11546783715206,11.296975109778934,8.69773696562739,10.507641197611989,6.187677939459609,0.0,7.250134123258181,8.589041667259513,6.672791237805611,14.44711435224401,9.391745533449948,13.640577323730138,10.21693832731052,10.492470380198311,12.900654830324026,14.955669004422235,14.737288007713103,19.33901983181135,18.11663075003391,17.644833154939374,19.741470508774867,22.573363043369167,14.470589117173281,18.924358322247983
N3E 0A1,Cambridge,43.4193,-80.3505,11,16.97233556550106,17.734132724634637,14.368893043899899,16.77617120838479,18.057418845391837,19.91201965723058,9.897740946419999,11.792658298388805,6.805815616563315,6.643275556026896,7.250134123258181,0.0,1.7702452146863066,12.864224237602448,18.69221321137853,14.933136000725147,16.034625740943472,12.421134494434545,16.839335979405735,6.466422698126171,9.260069940952134,7.643879873680627,12.206420789639372,11.535502232103392,11.449018009933242,12.966429804938812,15.633811073987673,7.289500951175301,11.675869285889638
N3H 0A1,Cambridge,43.4267,-80.3699,12,15.589117449014347,15.969785459612861,12.622458499734167,15.022394877900483,16.359850962015397,18.16586023298785,11.384306583662141,13.56191986018339,8.028994723123706,8.401777216920449,8.589041667259513,1.7702452146863066,0.0,13.659725566095632,18.783025397342858,15.476452932512494,15.727339475850867,12.220924105198728,17.593851403647985,4.707195504849342,7.499119495988995,6.1482976376407095,10.750105047742393,9.82472547189388,9.688494418547888,11.310516576306904,14.048137582015197,6.480300868688433,10.54326248373218
N1C 0A1,Guelph,43.4921,-80.2267,13,18.755876159080028,25.039547719412464,21.54105509026994,25.823349073836475,27.98654640473505,28.904570881538277,17.829001707925787,13.961176275134457,17.165014493832672,12.770077436073889,6.672791237805611,12.864224237602448,13.659725566095632,0.0,8.49668720375584,2.926456862467175,9.506384137845146,7.363350202959061,3.9791767639331956,16.945825476394457,18.01821221027435,19.455977767356593,23.940019449181552,21.839491921093195,20.93519328215689,23.643769791164416,26.63678098717661,20.07784515876631,24.169267989889896
N1E 0A1,Guelph,43.5677,-80.2418,14,16.132537921893373,24.804756891500965,21.811265589283032,26.723257542773364,29.331152273384628,29.423865661908014,25.717442104652942,22.41494544075201,24.374000767554318,20.606881315726373,14.44711435224401,18.69221321137853,18.783025397342858,8.49668720375584,0.0,5.635175456370515,4.82571354015559,6.896173174938869,7.107201018145735,20.3756085808386,20.116431323554373,23.358864270267166,27.261681560312642,24.21647493451969,22.878338051728516,26.065301018863508,29.020624142798322,25.10320994479947,28.374591165175108
N1G 0A1,Guelph,43.5184,-80.2257,15,17.911957795036606,25.130854503958172,21.7543141685148,26.31876327859694,28.659807555734766,29.30098698546849,20.65028625112431,16.885314442130344,19.775368854099604,15.560549534989015,9.391745533449948,14.933136000725147,15.476452932512494,2.926456862467175,5.635175456370515,0.0,7.514783150780478,6.4594494802649205,2.8919194849494305,18.200315722839626,18.810745265857662,20.926115163515753,25.260435117044427,22.800383680695955,21.72810734017989,24.644684942765874,27.65764203620148,21.956510410940385,25.80082143588245
N1H 0A1,Guelph,43.5588,-80.3004,16,11.36739848238513,19.99899442086355,17.07053186221263,22.019188630324884,24.672868951543627,24.65788476005392,24.362546855756523,22.25261168052976,22.373523520900076,19.392056096896926,13.640577323730138,16.034625740943472,15.727339475850867,9.506384137845146,4.82571354015559,7.514783150780478,0.0,3.667965825982593,10.09493449760687,16.46904171450602,15.78178452768113,19.5174243813381,23.11018457635711,19.849113547532042,18.428498455010633,21.67401821303219,24.575419970322468,21.691778093975955,24.51581504042069
N1K 0A1,Guelph,43.526,-80.3051,17,11.514501705511332,18.833183294611437,15.565457393855485,20.314164093327204,22.80653898526634,23.184227826685085,20.725505673408716,18.90376436300645,18.706504460644645,15.79292649802141,10.21693832731052,12.421134494434545,12.220924105198728,7.363350202959061,6.896173174938869,6.4594494802649205,3.667965825982593,0.0,9.349810918402456,13.482213602094054,13.311176184804244,16.476757761984818,20.37408094730707,17.409361958993774,16.13530798279224,19.265483819650083,22.246973466427995,18.366939664248626,21.494860113229215
N1L 0A2,Guelph,43.516,-80.19,18,20.77571817294051,27.992010078999343,24.592786571060007,29.101799800554176,31.394956754888735,32.11084969161191,21.37141350401657,16.841758570411233,20.994446154067777,16.41345120506431,10.492470380198311,16.839335979405735,17.593851403647985,3.9791767639331956,7.107201018145735,2.8919194849494305,10.09493449760687,9.349810918402456,0.0,20.677780581526466,21.4892023153334,23.290106177734195,27.7172557922249,25.42354401965161,24.41319234607547,27.25437516727553,30.263080721999604,24.03430242398271,28.0678545812816
N2A 0A1,Kitchener,43.4413,-80.4246,19,12.929419108718594,11.418010389160525,8.25706194309458,10.315813988584482,11.749302057606364,13.464281807005419,15.373706386925011,18.22330325763705,11.66956898886389,13.026955296970403,12.900654830324026,6.466422698126171,4.707195504849342,16.945825476394457,20.3756085808386,18.200315722839626,16.46904171450602,13.482213602094054,20.677780581526466,0.0,3.1465977985458,3.056790517396731,7.060517891099576,5.219675598287794,4.982606900485286,6.863365726342828,9.777254411684993,5.964493212949457,8.048328316721175
N2B 0A1,Kitchener,43.4646,-80.4467,20,10.275412224633282,8.476169706104326,5.157956001234658,8.00452987875977,9.974247837721181,11.176700885497825,18.49325774390875,21.044458554459435,14.810144038740352,15.900632919564837,14.955669004422235,9.260069940952134,7.499119495988995,18.01821221027435,20.116431323554373,18.810745265857662,15.78178452768113,13.311176184804244,21.4892023153334,3.1465977985458,0.0,5.162681640544246,7.441881330042275,4.101110295148805,2.9245707805429144,5.95490076811982,8.939913794691135,8.653418523435258,9.443906463745016
N2C 0A2,Kitchener,43.4182,-80.4451,21,15.430467086930623,12.068576618464878,9.508585973915444,10.037748154516217,10.74490337176842,12.964709162882562,14.910385883610166,18.777558081440684,11.077094052230985,13.590300908975863,14.737288007713103,7.643879873680627,6.1482976376407095,19.455977767356593,23.358864270267166,20.926115163515753,19.5174243813381,16.476757761984818,23.290106177734195,3.056790517396731,5.162681640544246,0.0,4.602954862302235,4.589077666641369,5.336890558016741,5.563171693844633,8.020766618435788,3.6059366772854116,5.018484794850731
